Date,Open,High,Low,Close,Adj Close,Volume
2018-11-13,78.980003,79.370003,77.279999,77.919998,77.919998,536700
2018-11-14,77.300003,80.970001,77.099998,79.660004,79.660004,885300
2018-11-15,80.629997,81.949997,79.459999,81.209999,81.209999,729300
2018-11-16,82.370003,83.279999,81.510002,81.529999,81.529999,825900
2018-11-19,81.900002,82.750000,81.449997,81.900002,81.900002,623500
2018-11-20,81.980003,82.360001,80.410004,81.680000,81.680000,480800
2018-11-21,82.839996,84.730003,82.690002,84.199997,84.199997,764700
2018-11-23,83.309998,84.029999,81.550003,82.050003,82.050003,330300
2018-11-26,82.930000,83.910004,81.360001,81.709999,81.709999,491600
2018-11-27,81.900002,82.180000,79.070000,80.059998,80.059998,645400
2018-11-28,80.070000,82.430000,79.489998,81.650002,81.650002,868200
2018-11-29,82.820000,83.150002,81.849998,82.040001,82.040001,600100
2018-11-30,80.919998,81.029999,79.459999,80.169998,80.169998,916400
2018-12-03,80.839996,81.690002,79.639999,81.309998,81.309998,793200
2018-12-04,81.449997,82.900002,81.449997,82.029999,82.029999,1275100
2018-12-06,82.489998,84.300003,82.160004,83.629997,83.629997,1109800
2018-12-07,85.269997,86.320000,84.379997,85.669998,85.669998,1129700
2018-12-10,86.000000,88.519997,85.620003,86.559998,86.559998,1259500
2018-12-11,87.629997,87.660004,85.330002,85.449997,85.449997,1500600
2018-12-12,85.629997,87.919998,85.610001,87.830002,87.830002,1013200
2018-12-13,87.529999,88.699997,87.260002,88.519997,88.519997,987027
